ID1_CITY,C_NAME,year,total_pop
0101,臺北市松山區,2016,37520
0102,臺北市大安區,2016,43914
0109,臺北市大同區,2016,18089
0110,臺北市中山區,2016,58928
0111,臺北市內湖區,2016,39400
0112,臺北市南港區,2016,16109
0115,臺北市士林區,2016,17287
0116,臺北市北投區,2016,14573
0117,臺北市信義區,2016,33976
0118,臺北市中正區,2016,43165
0119,臺北市萬華區,2016,18587
0120,臺北市文山區,2016,10780
0301,臺中市豐原區,2016,13757
0302,臺中市東勢區,2016,2634
0303,臺中市大甲區,2016,5350
0304,臺中市清水區,2016,5683
0305,臺中市沙鹿區,2016,5402
0306,臺中市梧棲區,2016,4800
0307,臺中市后里區,2016,3414
0308,臺中市神岡區,2016,5592
0309,臺中市潭子區,2016,8292
0310,臺中市大雅區,2016,7235
0311,臺中市新社區,2016,1414
0312,臺中市石岡區,2016,713
0313,臺中市外埔區,2016,1538
0314,臺中市大安區,2016,897
0315,臺中市烏日區,2016,4983
0316,臺中市大肚區,2016,2914
0317,臺中市龍井區,2016,3395
0318,臺中市霧峰區,2016,4221
0319,臺中市太平區,2016,9741
0320,臺中市大里區,2016,11011
0321,臺中市和平區,2016,681
0322,臺中市中區,2016,5668
0323,臺中市東區,2016,5137
0324,臺中市西區,2016,14833
0325,臺中市南區,2016,6408
0326,臺中市北區,2016,12934
0327,臺中市西屯區,2016,22591
0328,臺中市南屯區,2016,14131
0329,臺中市北屯區,2016,13660
0501,臺南市新營區,2016,9972
0502,臺南市鹽水區,2016,1421
0503,臺南市白河區,2016,1453
0504,臺南市麻豆區,2016,2423
0505,臺南市佳里區,2016,7818
0506,臺南市新化區,2016,2208
0507,臺南市善化區,2016,3498
0508,臺南市學甲區,2016,1081
0509,臺南市柳營區,2016,1209
0510,臺南市後壁區,2016,1279
0511,臺南市東山區,2016,1163
0512,臺南市下營區,2016,1028
0513,臺南市六甲區,2016,814
0514,臺南市官田區,2016,1713
0515,臺南市大內區,2016,537
0516,臺南市西港區,2016,1240
0517,臺南市七股區,2016,590
0518,臺南市將軍區,2016,527
0519,臺南市北門區,2016,233
0520,臺南市新市區,2016,6330
0521,臺南市安定區,2016,1783
0522,臺南市山上區,2016,765
0523,臺南市玉井區,2016,858
0524,臺南市楠西區,2016,605
0525,臺南市南化區,2016,500
0526,臺南市左鎮區,2016,304
0527,臺南市仁德區,2016,6896
0528,臺南市歸仁區,2016,3709
0529,臺南市關廟區,2016,2028
0530,臺南市龍崎區,2016,271
0531,臺南市永康區,2016,16162
0532,臺南市東區,2016,9929
0533,臺南市南區,2016,8115
0534,臺南市中西區,2016,12936
0535,臺南市北區,2016,7940
0537,臺南市安南區,2016,8153
0538,臺南市安平區,2016,5202
0701,高雄市鳳山區,2016,24096
0702,高雄市岡山區,2016,7126
0703,高雄市旗山區,2016,2130
0704,高雄市美濃區,2016,2207
0705,高雄市林園區,2016,3044
0706,高雄市大寮區,2016,7468
0707,高雄市大樹區,2016,2358
0708,高雄市仁武區,2016,6377
0709,高雄市大社區,2016,2378
0710,高雄市鳥松區,2016,3947
0711,高雄市橋頭區,2016,1994
0712,高雄市燕巢區,2016,3125
0713,高雄市田寮區,2016,469
0714,高雄市阿蓮區,2016,1532
0715,高雄市路竹區,2016,3599
0716,高雄市湖內區,2016,1626
0717,高雄市茄萣區,2016,1449
0718,高雄市永安區,2016,1240
0719,高雄市彌陀區,2016,938
0720,高雄市梓官區,2016,1880
0721,高雄市六龜區,2016,801
0722,高雄市甲仙區,2016,527
0723,高雄市杉林區,2016,672
0724,高雄市內門區,2016,894
0725,高雄市茂林區,2016,83
0726,高雄市桃源區,2016,130
0727,高雄市那瑪夏區,2016,112
0728,高雄市鹽埕區,2016,1769
0729,高雄市鼓山區,2016,7083
0730,高雄市左營區,2016,10643
0731,高雄市楠梓區,2016,10731
0732,高雄市三民區,2016,21176
0733,高雄市新興區,2016,8571
0734,高雄市前金區,2016,5097
0735,高雄市苓雅區,2016,13233
0736,高雄市前鎮區,2016,21548
0737,高雄市旗津區,2016,593
0738,高雄市小港區,2016,10949
1101,基隆市中正區,2016,4063
1102,基隆市七堵區,2016,2329
1103,基隆市暖暖區,2016,969
1104,基隆市仁愛區,2016,7797
1105,基隆市中山區,2016,1451
1106,基隆市安樂區,2016,2542
1107,基隆市信義區,2016,2678
1200,新竹市,2016,48479
2200,嘉義市,2016,20262
3101,新北市板橋區,2016,36277
3102,新北市三重區,2016,28691
3103,新北市永和區,2016,9490
3104,新北市中和區,2016,30998
3105,新北市新店區,2016,19836
3106,新北市新莊區,2016,21548
3107,新北市樹林區,2016,12630
3108,新北市鶯歌區,2016,4014
3109,新北市三峽區,2016,4943
3110,新北市淡水區,2016,8584
3111,新北市汐止區,2016,14826
3112,新北市瑞芳區,2016,3398
3113,新北市土城區,2016,13125
3114,新北市蘆洲區,2016,7896
3115,新北市五股區,2016,9763
3116,新北市泰山區,2016,4436
3117,新北市林口區,2016,5441
3118,新北市深坑區,2016,1768
3119,新北市石碇區,2016,296
3120,新北市坪林區,2016,309
3121,新北市三芝區,2016,1005
3122,新北市石門區,2016,393
3123,新北市八里區,2016,2116
3124,新北市平溪區,2016,197
3125,新北市雙溪區,2016,188
3126,新北市貢寮區,2016,862
3127,新北市金山區,2016,1789
3128,新北市萬里區,2016,1280
3129,新北市烏來區,2016,209
3201,桃園縣桃園市,2016,36704
3202,桃園縣中壢市,2016,25354
3203,桃園縣大溪鎮,2016,4470
3204,桃園縣楊梅鎮,2016,8551
3205,桃園縣蘆竹鄉,2016,13067
3206,桃園縣大園鄉,2016,8324
3207,桃園縣龜山鄉,2016,16102
3208,桃園縣八德市,2016,8555
3209,桃園縣龍潭鄉,2016,7020
3210,桃園縣平鎮市,2016,12160
3211,桃園縣新屋鄉,2016,3303
3212,桃園縣觀音鄉,2016,5213
3213,桃園縣復興鄉,2016,538
3301,新竹縣關西鎮,2016,1274
3302,新竹縣新埔鎮,2016,1785
3303,新竹縣竹東鎮,2016,4844
3305,新竹縣竹北市,2016,13988
3306,新竹縣湖口鄉,2016,7740
3307,新竹縣橫山鄉,2016,630
3308,新竹縣新豐鄉,2016,2063
3309,新竹縣芎林鄉,2016,1061
3310,新竹縣寶山鄉,2016,1624
3311,新竹縣北埔鄉,2016,360
3312,新竹縣峨眉鄉,2016,267
3313,新竹縣尖石鄉,2016,344
3314,新竹縣五峰鄉,2016,140
3401,宜蘭縣宜蘭市,2016,9748
3402,宜蘭縣羅東鎮,2016,4255
3403,宜蘭縣蘇澳鎮,2016,3644
3404,宜蘭縣頭城鎮,2016,1966
3405,宜蘭縣礁溪鄉,2016,1848
3406,宜蘭縣壯圍鄉,2016,716
3407,宜蘭縣員山鄉,2016,1430
3408,宜蘭縣冬山鄉,2016,2191
3409,宜蘭縣五結鄉,2016,2357
3410,宜蘭縣三星鄉,2016,1056
3411,宜蘭縣大同鄉,2016,165
3412,宜蘭縣南澳鄉,2016,201
3501,苗栗縣苗栗市,2016,7663
3502,苗栗縣苑裡鎮,2016,2651
3503,苗栗縣通霄鎮,2016,2152
3504,苗栗縣竹南鎮,2016,6145
3505,苗栗縣頭份鎮,2016,4154
3506,苗栗縣後龍鎮,2016,2310
3507,苗栗縣卓蘭鎮,2016,989
3508,苗栗縣大湖鄉,2016,1005
3509,苗栗縣公館鄉,2016,1333
3510,苗栗縣銅鑼鄉,2016,1311
3511,苗栗縣南庄鄉,2016,485
3512,苗栗縣頭屋鄉,2016,417
3513,苗栗縣三義鄉,2016,1011
3514,苗栗縣西湖鄉,2016,426
3515,苗栗縣造橋鄉,2016,750
3516,苗栗縣三灣鄉,2016,323
3517,苗栗縣獅潭鄉,2016,229
3518,苗栗縣泰安鄉,2016,196
3701,彰化縣彰化市,2016,21162
3702,彰化縣鹿港鎮,2016,8523
3703,彰化縣和美鎮,2016,4760
3704,彰化縣北斗鎮,2016,1767
3705,彰化縣員林鎮,2016,6574
3706,彰化縣溪湖鎮,2016,2765
3707,彰化縣田中鎮,2016,2102
3708,彰化縣二林鎮,2016,2831
3709,彰化縣線西鄉,2016,1043
3710,彰化縣伸港鄉,2016,2081
3711,彰化縣福興鄉,2016,2814
3712,彰化縣秀水鄉,2016,2831
3713,彰化縣花壇鄉,2016,2622
3714,彰化縣芬園鄉,2016,1106
3715,彰化縣大村鄉,2016,2952
3716,彰化縣埔鹽鄉,2016,1992
3717,彰化縣埔心鄉,2016,2136
3718,彰化縣永靖鄉,2016,1983
3719,彰化縣社頭鄉,2016,2054
3720,彰化縣二水鄉,2016,832
3721,彰化縣田尾鄉,2016,1316
3722,彰化縣埤頭鄉,2016,1686
3723,彰化縣芳苑鄉,2016,1691
3724,彰化縣大城鄉,2016,968
3725,彰化縣竹塘鄉,2016,987
3726,彰化縣溪州鄉,2016,1696
3801,南投縣南投市,2016,11231
3802,南投縣埔里鎮,2016,4112
3803,南投縣草屯鎮,2016,5446
3804,南投縣竹山鎮,2016,2814
3805,南投縣集集鎮,2016,628
3806,南投縣名間鄉,2016,2053
3807,南投縣鹿谷鄉,2016,1052
3808,南投縣中寮鄉,2016,830
3809,南投縣魚池鄉,2016,1529
3810,南投縣國姓鄉,2016,1121
3811,南投縣水里鄉,2016,888
3812,南投縣信義鄉,2016,867
3813,南投縣仁愛鄉,2016,937
3901,雲林縣斗六市,2016,15580
3902,雲林縣斗南鎮,2016,2227
3903,雲林縣虎尾鎮,2016,3569
3904,雲林縣西螺鎮,2016,2300
3905,雲林縣土庫鎮,2016,1456
3906,雲林縣北港鎮,2016,1796
3907,雲林縣古坑鄉,2016,1608
3908,雲林縣大埤鄉,2016,919
3909,雲林縣荊桐鄉,2016,1199
3910,雲林縣林內鄉,2016,870
3911,雲林縣二崙鄉,2016,1639
3912,雲林縣崙背鄉,2016,1389
3913,雲林縣麥寮鄉,2016,3033
3914,雲林縣東勢鄉,2016,723
3915,雲林縣褒忠鄉,2016,672
3916,雲林縣臺西鄉,2016,665
3917,雲林縣元長鄉,2016,1517
3918,雲林縣四湖鄉,2016,4587
3919,雲林縣口湖鄉,2016,947
3920,雲林縣水林鄉,2016,1412
4001,嘉義縣朴子市,2016,2776
4002,嘉義縣布袋鎮,2016,3142
4003,嘉義縣大林鎮,2016,2052
4004,嘉義縣民雄鄉,2016,4760
4005,嘉義縣溪口鄉,2016,800
4006,嘉義縣新港鄉,2016,2454
4007,嘉義縣六腳鄉,2016,1273
4008,嘉義縣東石鄉,2016,819
4009,嘉義縣義竹鄉,2016,810
4010,嘉義縣鹿草鄉,2016,926
4011,嘉義縣太保市,2016,2163
4012,嘉義縣水上鄉,2016,2504
4013,嘉義縣中埔鄉,2016,2787
4014,嘉義縣竹崎鄉,2016,2411
4015,嘉義縣梅山鄉,2016,1142
4016,嘉義縣番路鄉,2016,703
4017,嘉義縣大埔鄉,2016,82
4018,嘉義縣阿里山,2016,357
4301,屏東縣屏東市,2016,19551
4302,屏東縣潮州鎮,2016,2655
4303,屏東縣東港鎮,2016,2949
4304,屏東縣恆春鎮,2016,1998
4305,屏東縣萬丹鄉,2016,2168
4306,屏東縣長治鄉,2016,1380
4307,屏東縣麟洛鄉,2016,468
4308,屏東縣九如鄉,2016,974
4309,屏東縣里港鄉,2016,1316
4310,屏東縣鹽埔鄉,2016,1408
4311,屏東縣高樹鄉,2016,1507
4312,屏東縣萬巒鄉,2016,1267
4313,屏東縣內埔鄉,2016,3400
4314,屏東縣竹田鄉,2016,873
4315,屏東縣新埤鄉,2016,565
4316,屏東縣枋寮鄉,2016,1745
4317,屏東縣新園鄉,2016,1452
4318,屏東縣崁頂鄉,2016,591
4319,屏東縣林邊鄉,2016,1258
4320,屏東縣南州鄉,2016,554
4321,屏東縣佳冬鄉,2016,760
4322,屏東縣琉球鄉,2016,696
4323,屏東縣車城鄉,2016,504
4324,屏東縣滿州鄉,2016,384
4325,屏東縣枋山鄉,2016,324
4326,屏東縣三地鄉,2016,280
4327,屏東縣霧臺鄉,2016,70
4328,屏東縣瑪家鄉,2016,227
4329,屏東縣泰武鄉,2016,158
4330,屏東縣來義鄉,2016,222
4331,屏東縣春日鄉,2016,138
4332,屏東縣獅子鄉,2016,166
4333,屏東縣牡丹鄉,2016,147
4401,澎湖縣馬公市,2016,5089
4402,澎湖縣湖西鎮,2016,250
4403,澎湖縣白沙鄉,2016,108
4404,澎湖縣西嶼鄉,2016,122
4405,澎湖縣望安鄉,2016,56
4406,澎湖縣七美鄉,2016,46
4501,花蓮縣花蓮市,2016,10225
4502,花蓮縣鳳林鎮,2016,642
4503,花蓮縣玉里鎮,2016,1576
4504,花蓮縣新城鄉,2016,1238
4505,花蓮縣吉安鄉,2016,4192
4506,花蓮縣壽豐鄉,2016,1096
4507,花蓮縣光復鄉,2016,804
4508,花蓮縣豐濱鄉,2016,191
4509,花蓮縣瑞穗鄉,2016,603
4510,花蓮縣富里鄉,2016,635
4511,花蓮縣秀林鄉,2016,591
4512,花蓮縣萬榮鄉,2016,216
4513,花蓮縣卓溪鄉,2016,224
4601,台東縣台東市,2016,8110
4602,台東縣成功鎮,2016,905
4603,台東縣關山鎮,2016,556
4604,台東縣卑南鄉,2016,662
4605,台東縣大武鄉,2016,220
4606,台東縣太麻里,2016,833
4607,台東縣東河鄉,2016,524
4608,台東縣長濱鄉,2016,416
4609,台東縣鹿野鄉,2016,595
4610,台東縣池上鄉,2016,512
4611,台東縣綠島鄉,2016,132
4612,台東縣延平鄉,2016,100
4613,台東縣海端鄉,2016,124
4614,台東縣達仁鄉,2016,129
4615,台東縣金峰鄉,2016,143
4616,台東縣蘭嶼鄉,2016,259
0101,臺北市松山區,2017,39166
0102,臺北市大安區,2017,43741
0109,臺北市大同區,2017,17722
0110,臺北市中山區,2017,59008
0111,臺北市內湖區,2017,40428
0112,臺北市南港區,2017,17091
0115,臺北市士林區,2017,17381
0116,臺北市北投區,2017,14415
0117,臺北市信義區,2017,32447
0118,臺北市中正區,2017,41778
0119,臺北市萬華區,2017,18380
0120,臺北市文山區,2017,10578
0301,臺中市豐原區,2017,13421
0302,臺中市東勢區,2017,2512
0303,臺中市大甲區,2017,5282
0304,臺中市清水區,2017,5574
0305,臺中市沙鹿區,2017,5212
0306,臺中市梧棲區,2017,4742
0307,臺中市后里區,2017,3463
0308,臺中市神岡區,2017,5616
0309,臺中市潭子區,2017,8121
0310,臺中市大雅區,2017,7355
0311,臺中市新社區,2017,1379
0312,臺中市石岡區,2017,678
0313,臺中市外埔區,2017,1492
0314,臺中市大安區,2017,857
0315,臺中市烏日區,2017,5002
0316,臺中市大肚區,2017,2885
0317,臺中市龍井區,2017,3415
0318,臺中市霧峰區,2017,4181
0319,臺中市太平區,2017,9464
0320,臺中市大里區,2017,10799
0321,臺中市和平區,2017,645
0322,臺中市中區,2017,5674
0323,臺中市東區,2017,5041
0324,臺中市西區,2017,14891
0325,臺中市南區,2017,6470
0326,臺中市北區,2017,13093
0327,臺中市西屯區,2017,23017
0328,臺中市南屯區,2017,14508
0329,臺中市北屯區,2017,13901
0501,臺南市新營區,2017,9747
0502,臺南市鹽水區,2017,1405
0503,臺南市白河區,2017,1406
0504,臺南市麻豆區,2017,2291
0505,臺南市佳里區,2017,7699
0506,臺南市新化區,2017,2174
0507,臺南市善化區,2017,6290
0508,臺南市學甲區,2017,1046
0509,臺南市柳營區,2017,1224
0510,臺南市後壁區,2017,1268
0511,臺南市東山區,2017,1139
0512,臺南市下營區,2017,997
0513,臺南市六甲區,2017,791
0514,臺南市官田區,2017,1640
0515,臺南市大內區,2017,529
0516,臺南市西港區,2017,1214
0517,臺南市七股區,2017,577
0518,臺南市將軍區,2017,509
0519,臺南市北門區,2017,221
0520,臺南市新市區,2017,3513
0521,臺南市安定區,2017,1762
0522,臺南市山上區,2017,723
0523,臺南市玉井區,2017,839
0524,臺南市楠西區,2017,575
0525,臺南市南化區,2017,483
0526,臺南市左鎮區,2017,290
0527,臺南市仁德區,2017,6760
0528,臺南市歸仁區,2017,3700
0529,臺南市關廟區,2017,1956
0530,臺南市龍崎區,2017,261
0531,臺南市永康區,2017,16365
0532,臺南市東區,2017,9800
0533,臺南市南區,2017,8080
0534,臺南市中西區,2017,12705
0535,臺南市北區,2017,7922
0537,臺南市安南區,2017,8268
0538,臺南市安平區,2017,5186
0701,高雄市鳳山區,2017,23659
0702,高雄市岡山區,2017,7120
0703,高雄市旗山區,2017,2061
0704,高雄市美濃區,2017,2093
0705,高雄市林園區,2017,3019
0706,高雄市大寮區,2017,7566
0707,高雄市大樹區,2017,2313
0708,高雄市仁武區,2017,6371
0709,高雄市大社區,2017,2277
0710,高雄市鳥松區,2017,4001
0711,高雄市橋頭區,2017,1974
0712,高雄市燕巢區,2017,3111
0713,高雄市田寮區,2017,441
0714,高雄市阿蓮區,2017,1470
0715,高雄市路竹區,2017,3611
0716,高雄市湖內區,2017,1634
0717,高雄市茄萣區,2017,1490
0718,高雄市永安區,2017,1169
0719,高雄市彌陀區,2017,889
0720,高雄市梓官區,2017,1804
0721,高雄市六龜區,2017,787
0722,高雄市甲仙區,2017,489
0723,高雄市杉林區,2017,658
0724,高雄市內門區,2017,879
0725,高雄市茂林區,2017,83
0726,高雄市桃源區,2017,135
0727,高雄市那瑪夏區,2017,108
0728,高雄市鹽埕區,2017,1724
0729,高雄市鼓山區,2017,7215
0730,高雄市左營區,2017,10876
0731,高雄市楠梓區,2017,10556
0732,高雄市三民區,2017,20808
0733,高雄市新興區,2017,8360
0734,高雄市前金區,2017,5057
0735,高雄市苓雅區,2017,12944
0736,高雄市前鎮區,2017,21049
0737,高雄市旗津區,2017,601
0738,高雄市小港區,2017,10863
1101,基隆市中正區,2017,3976
